coefficient,dataset,method,accuracy,perplexity,steer.top_k
5.0,Refusal_open_2,SAS,88.00,1.47,mid5
7.5,Refusal_open_2,SAS,88.00,3.90,15
7.5,Refusal_open_2,SAS,94.00,3.49,top3
7.5,Refusal_open_2,SAS,94.00,3.53,top5
7.5,Refusal_open_2,SAS,88.00,1.60,mid5
10.0,Refusal_open_2,SAS,90.00,5.89,15
10.0,Refusal_open_2,SAS,86.00,4.19,top3
10.0,Refusal_open_2,SAS,86.00,4.23,top5
10.0,Refusal_open_2,SAS,88.00,1.88,mid5
15.0,Refusal_open_2,SAS,44.00,6.76,15
15.0,Refusal_open_2,SAS,68.00,4.62,top5
15.0,Refusal_open_2,SAS,88.00,2.97,mid5
0.3,SorryBench,SAS,90.45,1.51,15
0.5,SorryBench,SAS,90.68,1.51,15
0.7,SorryBench,SAS,90.45,1.51,15
1.0,SorryBench,SAS,90.68,1.52,15
1.3,SorryBench,SAS,90.68,1.52,15
1.5,SorryBench,SAS,90.91,1.53,15
1.7,SorryBench,SAS,90.91,1.54,15
2.0,SorryBench,SAS,91.0,1.56,15
2.5,SorryBench,SAS,90.91,1.64,15
3.0,SorryBench,SAS,85.68,1.54,15
4.0,SorryBench,SAS,90.91,2.58,15
5.0,SorryBench,SAS,90.68,4.49,15
7.5,SorryBench,SAS,79.09,8.91,15
10.0,SorryBench,SAS,0.00,4.82,15
0.3,SorryBench_2,SAS,90.68,1.51,15
0.5,SorryBench_2,SAS,90.68,1.51,15
0.7,SorryBench_2,SAS,90.45,1.51,15
1.0,SorryBench_2,SAS,90.68,1.52,15
1.3,SorryBench_2,SAS,90.68,1.53,15
1.5,SorryBench_2,SAS,90.68,1.53,15
1.7,SorryBench_2,SAS,90.45,1.54,15
2.0,SorryBench_2,SAS,91.14,1.56,15
2.5,SorryBench_2,SAS,91.36,1.58,15
4.0,SorryBench_2,SAS,92.05,1.88,15
5.0,SorryBench_2,SAS,92.27,2.43,15
7.5,SorryBench_2,SAS,93.41,4.21,15
10.0,SorryBench_2,SAS,89.55,6.16,15
1.0,XSTest,SAS,81.0,1.48,15
2.0,XSTest,SAS,79.0,1.53,15
3.0,XSTest,SAS,80.44,1.51,15
0.3,gms8k,SAS,60.00,1.11,15
0.5,gms8k,SAS,62.67,1.10,15
0.7,gms8k,SAS,59.33,1.12,15
1.0,gms8k,SAS,57.67,1.12,15
1.3,gms8k,SAS,58.33,1.13,15
1.5,gms8k,SAS,61.00,1.12,15
1.7,gms8k,SAS,60.00,1.13,15
2.0,gms8k,SAS,58.67,1.15,15
2.5,gms8k,SAS,54.67,1.17,15
4.0,gms8k,SAS,40.33,1.33,15
5.0,gms8k,SAS,19.33,1.59,15
7.5,gms8k,SAS,1.00,5.05,15
10.0,gms8k,SAS,0.00,127.27,15
0.3,Refusal_open,SPARE,88.00,1.35,15
0.5,Refusal_open,SPARE,88.00,1.36,15
0.7,Refusal_open,SPARE,86.00,1.42,15
1.0,Refusal_open,SPARE,84.00,1.43,15
1.3,Refusal_open,SPARE,86.00,1.43,15
1.5,Refusal_open,SPARE,86.00,1.36,15
1.7,Refusal_open,SPARE,86.00,1.43,15
2.0,Refusal_open,SPARE,88.00,1.37,15
2.5,Refusal_open,SPARE,86.00,1.46,15
2.5,Refusal_open,SPARE,84.00,1.43,top3
2.5,Refusal_open,SPARE,84.00,1.44,top5
2.5,Refusal_open,SPARE,84.00,1.42,mid5
3.0,Refusal_open,SPARE,88.00,1.40,15
4.0,Refusal_open,SPARE,86.00,1.57,15
4.0,Refusal_open,SPARE,84.00,1.43,top3
4.0,Refusal_open,SPARE,84.00,1.52,top5
4.0,Refusal_open,SPARE,84.00,1.42,mid5
5.0,Refusal_open,SPARE,88.00,1.94,15
5.0,Refusal_open,SPARE,84.00,1.42,top3
5.0,Refusal_open,SPARE,86.00,1.59,top5
5.0,Refusal_open,SPARE,84.00,1.42,mid5
7.5,Refusal_open,SPARE,88.00,3.98,15
7.5,Refusal_open,SPARE,88.00,3.98,top3
7.5,Refusal_open,SPARE,88.00,2.06,top5
7.5,Refusal_open,SPARE,84.00,1.42,mid5
10.0,Refusal_open,SPARE,88.00,9.87,15
10.0,Refusal_open,SPARE,84.00,1.42,top3
10.0,Refusal_open,SPARE,90.00,3.72,top5
10.0,Refusal_open,SPARE,84.00,1.42,mid5
15.0,Refusal_open,SPARE,88.00,5.59,15
0.3,Refusal_open_2,SPARE,84.00,1.42,15
0.5,Refusal_open_2,SPARE,84.00,1.42,15
0.7,Refusal_open_2,SPARE,84.00,1.43,15
1.0,Refusal_open_2,SPARE,86.00,1.43,15
1.3,Refusal_open_2,SPARE,88.00,1.46,15
1.5,Refusal_open_2,SPARE,88.00,1.47,15
1.7,Refusal_open_2,SPARE,88.00,1.47,15
2.0,Refusal_open_2,SPARE,86.00,1.47,15
2.5,Refusal_open_2,SPARE,86.00,1.51,15
2.5,Refusal_open_2,SPARE,86.00,1.42,top3
2.5,Refusal_open_2,SPARE,84.00,1.42,top5
2.5,Refusal_open_2,SPARE,84.00,1.43,mid5
3.0,Refusal_open_2,SPARE,90.00,1.42,15
4.0,Refusal_open_2,SPARE,86.00,1.67,15
4.0,Refusal_open_2,SPARE,86.00,1.45,top3
4.0,Refusal_open_2,SPARE,86.00,1.44,top5
4.0,Refusal_open_2,SPARE,84.00,1.44,mid5
5.0,Refusal_open_2,SPARE,88.00,1.97,15
5.0,Refusal_open_2,SPARE,86.00,1.45,top3
5.0,Refusal_open_2,SPARE,86.00,1.45,top5
5.0,Refusal_open_2,SPARE,84.00,1.46,mid5
7.5,Refusal_open_2,SPARE,62.00,5.25,15
7.5,Refusal_open_2,SPARE,88.00,1.48,top3
7.5,Refusal_open_2,SPARE,88.00,1.49,top5
7.5,Refusal_open_2,SPARE,84.00,1.50,mid5
10.0,Refusal_open_2,SPARE,4.00,12.41,15
10.0,Refusal_open_2,SPARE,86.00,1.59,top3
10.0,Refusal_open_2,SPARE,90.00,1.62,top5
10.0,Refusal_open_2,SPARE,84.00,1.58,mid5
0.3,SorryBench,SPARE,90.68,1.49,15
0.5,SorryBench,SPARE,90.91,1.49,15
0.7,SorryBench,SPARE,90.68,1.49,15
1.0,SorryBench,SPARE,90.45,1.49,15
1.3,SorryBench,SPARE,90.45,1.50,15
1.5,SorryBench,SPARE,90.23,1.50,15
1.7,SorryBench,SPARE,90.45,1.51,15
2.0,SorryBench,SPARE,90.68,1.52,15
2.5,SorryBench,SPARE,90.91,1.53,15
4.0,SorryBench,SPARE,91.59,1.69,15
5.0,SorryBench,SPARE,92.05,2.06,15
7.5,SorryBench,SPARE,91.82,4.46,15
10.0,SorryBench,SPARE,90.45,9.66,15
0.3,SorryBench_2,SPARE,90.23,1.49,15
0.5,SorryBench_2,SPARE,90.91,1.49,15
0.7,SorryBench_2,SPARE,90.68,1.50,15
1.0,SorryBench_2,SPARE,90.68,1.51,15
1.3,SorryBench_2,SPARE,90.68,1.52,15
1.5,SorryBench_2,SPARE,91.14,1.53,15
1.7,SorryBench_2,SPARE,90.68,1.54,15
2.0,SorryBench_2,SPARE,90.91,1.56,15
2.5,SorryBench_2,SPARE,90.68,1.59,15
4.0,SorryBench_2,SPARE,90.68,1.77,15
5.0,SorryBench_2,SPARE,91.59,2.09,15
7.5,SorryBench_2,SPARE,63.86,6.08,15
10.0,SorryBench_2,SPARE,7.95,12.89,15
1.0,XSTest,SPARE,80.00,1.42,15
2.0,XSTest,SPARE,80.00,1.43,15
3.0,XSTest,SPARE,80.00,1.47,15
0.3,gms8k,SPARE,60.33,1.11,15
0.5,gms8k,SPARE,60.00,1.11,15
0.7,gms8k,SPARE,60.00,1.12,15
1.0,gms8k,SPARE,59.33,1.12,15
1.3,gms8k,SPARE,60.00,1.12,15
1.5,gms8k,SPARE,60.33,1.12,15
1.7,gms8k,SPARE,60.00,1.12,15
2.0,gms8k,SPARE,60.00,1.12,15
0.3,Refusal_open,SRPS,84.00,1.38,15
0.5,Refusal_open,SRPS,86.00,1.43,15
0.7,Refusal_open,SRPS,86.00,1.38,15
1.0,Refusal_open,SRPS,86.00,1.39,15
1.3,Refusal_open,SRPS,86.00,1.42,15
1.5,Refusal_open,SRPS,86.00,1.49,15
1.7,Refusal_open,SRPS,86.00,1.50,15
2.0,Refusal_open,SRPS,90.00,1.38,15
2.5,Refusal_open,SRPS,88.00,1.58,15
2.5,Refusal_open,SRPS,84.00,1.42,top3
2.5,Refusal_open,SRPS,84.00,1.42,top5
2.5,Refusal_open,SRPS,86.00,1.42,mid5
4.0,Refusal_open,SRPS,86.00,2.16,15
4.0,Refusal_open,SRPS,84.00,1.42,top3
4.0,Refusal_open,SRPS,84.00,1.42,top5
4.0,Refusal_open,SRPS,86.00,1.42,mid5
5.0,Refusal_open,SRPS,88.00,3.02,15
5.0,Refusal_open,SRPS,84.00,1.42,top3
5.0,Refusal_open,SRPS,84.00,1.42,top5
5.0,Refusal_open,SRPS,84.00,1.42,mid5
7.5,Refusal_open,SRPS,78.00,5.43,15
7.5,Refusal_open,SRPS,84.00,1.42,top3
7.5,Refusal_open,SRPS,84.00,1.42,top5
7.5,Refusal_open,SRPS,86.00,1.43,mid5
10.0,Refusal_open,SRPS,42.00,2.73,15
10.0,Refusal_open,SRPS,84.00,1.42,top3
10.0,Refusal_open,SRPS,84.00,1.42,top5
10.0,Refusal_open,SRPS,84.00,1.42,mid5
0.3,Refusal_open_2,SRPS,84.0,1.43,15
0.5,Refusal_open_2,SRPS,84.0,1.43,15
0.7,Refusal_open_2,SRPS,84.0,1.44,15
1.0,Refusal_open_2,SRPS,84.0,1.44,15
1.3,Refusal_open_2,SRPS,84.0,1.45,15
1.5,Refusal_open_2,SRPS,84.0,1.46,15
2.0,Refusal_open_2,SRPS,84.0,1.46,15
2.5,Refusal_open_2,SRPS,88.00,1.49,15
2.5,Refusal_open_2,SRPS,84.00,1.45,top3
2.5,Refusal_open_2,SRPS,84.00,1.47,top5
2.5,Refusal_open_2,SRPS,86.00,1.43,mid5
3.0,Refusal_open_2,SRPS,4.00,1.35,15
4.0,Refusal_open_2,SRPS,86.00,1.58,15
4.0,Refusal_open_2,SRPS,84.00,1.50,top3
4.0,Refusal_open_2,SRPS,88.00,1.54,top5
4.0,Refusal_open_2,SRPS,86.00,1.44,mid5
5.0,Refusal_open_2,SRPS,88.00,1.74,15
5.0,Refusal_open_2,SRPS,86.00,1.55,top3
5.0,Refusal_open_2,SRPS,86.00,1.64,top5
5.0,Refusal_open_2,SRPS,86.00,1.45,mid5
7.5,Refusal_open_2,SRPS,62.00,5.05,15
7.5,Refusal_open_2,SRPS,88.00,3.14,top3
7.5,Refusal_open_2,SRPS,76.00,4.12,top5
7.5,Refusal_open_2,SRPS,86.00,1.46,mid5
10.0,Refusal_open_2,SRPS,0.00,7.60,15
10.0,Refusal_open_2,SRPS,12.00,2.90,top3
10.0,Refusal_open_2,SRPS,6.00,2.75,top5
10.0,Refusal_open_2,SRPS,88.00,1.48,mid5
1.0,SorryBench,SRPS,91.0,1.54,15
1.3,SorryBench,SRPS,90.91,1.53,15
2.0,SorryBench,SRPS,91.0,1.64,15
2.5,SorryBench,SRPS,91.82,1.71,15
3.0,SorryBench,SRPS,7.95,1.53,15
4.0,SorryBench,SRPS,91.82,2.29,15
5.0,SorryBench,SRPS,90.45,3.19,15
7.5,SorryBench,SRPS,89.32,7.72,15
10.0,SorryBench,SRPS,19.32,18.53,15
2.5,SorryBench_2,SRPS,90.45,1.54,15
4.0,SorryBench_2,SRPS,92.05,1.63,15
5.0,SorryBench_2,SRPS,91.14,1.80,15
7.5,SorryBench_2,SRPS,77.50,5.56,15
10.0,SorryBench_2,SRPS,19.32,18.53,15
1.0,XSTest,SRPS,82.0,1.5,15
2.0,XSTest,SRPS,81.0,1.59,15
3.0,XSTest,SRPS,80.0,1.76,15
2.5,gms8k,SRPS,54.33,1.16,15
4.0,gms8k,SRPS,42.33,1.28,15
5.0,gms8k,SRPS,33.33,1.49,15
7.5,gms8k,SRPS,4.00,2.29,15
10.0,gms8k,SRPS,0.33,2.03,15
1.5,Refusal_open,BIPO,86.00,1.4431,
3.0,Refusal_open,BIPO,88.00,1.4472,
1.0,Refusal_open,ODE,86.00,1.4406,
1.0,liarbench_no_sys,ANGULAR,10.00,1.2156,
1.0,ifeval,ANGULAR,32.67,1.7149,
1.0,Refusal_open,ANGULAR,88.00,1.4287,
1.0,mmlu,CAA,55.26,,
2.0,Refusal_open,CAA,14.00,13.7925,
1.0,Refusal_open,CAST,84.00,1.4238,
10.0,liarbench_no_sys,CORRSTEER,11.00,1.3482,top5
1.0,liarbench_no_sys,CORRSTEER,10.00,1.2101,top5
20.0,liarbench_no_sys,CORRSTEER,27.00,76.5130,top5
2.0,liarbench_no_sys,CORRSTEER,5.00,1.2326,top5
30.0,liarbench_no_sys,CORRSTEER,67.00,9.0294,top5
3.0,liarbench_no_sys,CORRSTEER,10.00,1.2210,top5
5.0,liarbench_no_sys,CORRSTEER,6.00,1.2390,top5
7.0,liarbench_no_sys,CORRSTEER,6.00,1.2614,top5
5.0,Refusal_open,CORRSTEER,94.00,2.1422,top5
10.0,liarbench_no_sys,CURVEBALL,9.00,1.8337,
15.0,liarbench,CURVEBALL,95.00,10.0188,
15.0,liarbench_no_sys,CURVEBALL,63.00,5.1489,
1.0,liarbench_no_sys,CURVEBALL,3.00,1.1756,
20.0,liarbench,CURVEBALL,93.00,3.9405,
20.0,liarbench_no_sys,CURVEBALL,58.00,2.2899,
2.0,liarbench_no_sys,CURVEBALL,7.00,1.1955,
3.0,liarbench_no_sys,CURVEBALL,4.00,1.1953,
5.0,liarbench_no_sys,CURVEBALL,5.00,1.2512,
1.0,Refusal_open,CURVEBALL,100.00,4.6609,
1.0,Refusal_open,FGAA,90.00,1.9714,
1.0,liarbench,Finetune,48.00,1.2022,
1.0,mmlu,Finetune,54.00,765776.2629,
1.0,Refusal_open,Finetune,100.00,2.5207,
1.0,truthfulqa,Finetune,51.41,1711.6319,
0.3,liarbench_no_sys,FLAS,4.00,1.3303,
0.3,liarbench,FLAS,40.00,1.8617,
