dim,act_mean,act_var,act_std,act_skew,act_excess_kurtosis,act_q95_abs,act_q99_abs,act_max_abs,act_tail_ratio,recon_mean,recon_var,recon_std,recon_skew,recon_excess_kurtosis,recon_q95_abs,recon_q99_abs,recon_max_abs,recon_tail_ratio,var_delta,kurtosis_delta,tail_ratio_delta,abs_mean_delta
10,-1.2529588,6.829328,2.6132984,-0.019907484,0.22547269,5.71875,7.5625,12.625,5.4819465,-0.43274269,3.733175,1.9321426,-0.021564545,0.30127954,3.9375,5.3125,9.5625,6.1262465,-3.096153,0.075806856,0.6443,0.82021606
11,-0.0820552,6.667767,2.582202,-0.016911766,0.2665336,5.09375,6.875,11.5625,5.6723166,0.11899714,3.9563448,1.9890562,0.06936469,0.5966022,3.9375,5.5,9.75,6.254499,-2.7114222,0.3300686,0.5821824,0.20105234
12,-0.30131602,7.555886,2.7487972,0.0025529468,0.20110679,5.46875,7.3125,12.0625,5.5231133,-0.272298,4.875247,2.2079961,-0.023014955,0.29352093,4.439026,6.0,10.1875,5.824946,-2.6806388,0.09241414,0.30183268,0.029018015
13,0.089470804,6.575861,2.5643442,-0.08880139,0.11722398,5.0625,6.71875,10.9375,5.3729596,-0.016200708,3.9704325,1.9925944,-0.04197281,0.15269804,3.9375,5.25,9.6875,6.1249366,-2.6054285,0.035474062,0.75197697,0.10567151
14,-0.4107926,6.4400516,2.5377257,-0.053448662,0.32300472,5.125,6.812805,12.875,6.3812413,-0.29542652,3.5722601,1.8900424,-0.064490974,0.3974595,3.78125,5.1875,10.5625,7.022303,-2.8677914,0.074454784,0.6410618,0.11536607
15,-0.0006189331,6.065071,2.4627366,0.04772577,0.19872451,4.84375,6.46875,11.1875,5.7426715,0.49147344,3.5345352,1.880036,0.015381484,0.16264033,3.828125,5.09375,8.875,5.7492266,-2.530536,-0.036084175,0.0065550804,0.49209237
16,-0.63490295,8.614394,2.9350288,0.060743086,0.1823988,5.96875,7.90625,12.8125,5.370358,0.008787549,5.68552,2.3844328,0.091719076,0.3674507,4.75,6.5,11.5,6.139501,-2.928874,0.18505192,0.7691431,0.6436905
17,0.6066417,5.959714,2.4412525,-0.09635015,0.12757945,4.9375,6.500305,9.875,4.924698,0.43713945,3.3999367,1.8438917,-0.13567694,0.3466673,3.75,4.96875,9.75,6.488541,-2.5597773,0.21908784,1.5638433,0.16950226
18,1.472905,26.139492,5.1126795,-0.069920175,0.038856506,10.375,13.625,21.625,5.0816474,1.1432655,23.826418,4.8812313,-0.22053896,0.35584188,9.875,13.25,20.5,5.151663,-2.313074,0.31698537,0.07001543,0.32963955
19,-0.7368891,6.5127645,2.5520117,-0.014660939,0.19952703,5.251526,7.03125,11.375,5.4053683,-0.3438209,4.015414,2.0038497,0.053483874,0.42987084,4.0,5.5,9.875,6.179553,-2.4973502,0.23034382,0.7741847,0.39306822
20,0.32944706,6.670257,2.582684,-0.023486573,0.29170012,5.15625,6.96875,12.125,5.9065886,0.28349084,3.6439407,1.9089109,-0.014330275,0.30109882,3.8125,5.15625,8.75,5.7400384,-3.0263164,0.009398699,-0.16655016,0.045956224
21,-0.62102866,5.6466002,2.3762577,-0.016316092,0.21039343,4.875,6.46875,12.125,6.2404613,-0.69598675,3.2274845,1.7965201,0.104376085,0.6438601,3.8125,5.1875,8.625,5.6863103,-2.4191158,0.43346667,-0.55415106,0.074958086
22,0.12505749,6.733367,2.5948732,-0.02065866,0.18206,5.125,6.8125,11.3125,5.501388,-0.203731,3.6665027,1.9148114,-0.039095007,0.3771708,3.8125,5.21875,9.0,5.952038,-3.0668643,0.1951108,0.45064974,0.3287885
23,-0.55403125,7.3609767,2.7131119,-0.004443898,0.3308921,5.439026,7.40625,14.0,6.4009027,-0.6567776,4.767327,2.183421,0.04539065,0.4104457,4.46875,6.09375,11.4375,6.34436,-2.5936499,0.079553604,-0.056542873,0.10274637
24,0.4776542,7.004888,2.6466749,0.07015458,0.24340796,5.3125,7.21875,12.875,6.0659723,0.050104298,4.393889,2.0961604,0.1517392,0.43744826,4.21875,5.6875,9.625,5.8531322,-2.610999,0.1940403,-0.21284008,0.4275499
25,0.28653985,6.8324966,2.6139045,0.01899035,0.21283579,5.1875,6.96875,12.375,5.955479,0.2782279,3.9876235,1.9969034,0.0127224,0.29355025,3.984375,5.375,8.9375,5.6139193,-2.8448732,0.080714464,-0.3415599,0.008311957
26,-0.51411456,11.401053,3.3765445,-0.0035427536,0.19277859,6.75,9.0625,15.625,5.7759743,-0.74533606,7.980269,2.8249369,0.012708411,0.22312164,5.8125,7.8125,12.6875,5.48975,-3.4207845,0.030343056,-0.28622437,0.2312215
27,1.4546797,9.184615,3.030613,0.13244799,0.34039545,6.59375,8.8125,17.0,6.408507,1.3221895,6.3280334,2.5155582,0.15671209,0.5447619,5.59375,7.625,16.0,7.1501455,-2.8565817,0.20436645,0.74163866,0.13249028
28,0.30093974,6.986414,2.6431825,0.016968643,0.22302103,5.25,7.0625,12.125,5.770678,0.33995077,4.226639,2.055879,-0.035945874,0.29194117,4.125,5.5625,10.0,6.071745,-2.7597752,0.068920135,0.30106688,0.03901103
29,0.21589136,6.7227125,2.5928195,0.0027601474,0.25954342,5.09375,7.0,13.0,6.3310633,0.12571996,4.2034225,2.050225,-0.0021061697,0.30755115,4.0625,5.5,9.125,5.627807,-2.51929,0.048007727,-0.70325613,0.0901714
30,0.36582994,7.691448,2.773346,-0.015708078,0.056828976,5.53125,7.21875,12.3125,5.52909,0.27098086,4.9784813,2.231251,-0.055574592,0.1670208,4.40625,5.937805,9.8125,5.4982696,-2.712967,0.11019182,-0.03082037,0.09484908
31,0.5068781,7.380208,2.7166538,0.024143944,0.29979992,5.46875,7.34375,12.6875,5.813085,0.3451616,5.0612345,2.2497187,0.054962218,0.5952928,4.53125,6.21875,11.625,6.523,-2.3189735,0.2954929,0.7099147,0.16171649
32,0.052656677,6.244793,2.4989583,-0.0633274,0.22972226,4.9375,6.6875,11.5,5.83237,0.40477124,3.7475452,1.9358578,-0.060050562,0.39564323,3.890625,5.344055,9.875,6.3484735,-2.4972477,0.16592097,0.51610374,0.35211456
33,0.17445917,11.821635,3.4382606,-0.017157316,0.5816095,6.96875,9.4375,17.125,6.397933,0.109173074,9.486349,3.0799918,0.037273135,0.8036225,6.25,8.6875,16.875,7.1110163,-2.3352861,0.222013,0.71308327,0.0652861
34,0.36360198,6.2691016,2.5038173,-0.051775176,0.23976684,4.96875,6.75,11.8125,5.8963256,-0.04807212,4.0524526,2.0130703,-0.25813365,0.8856292,3.9375,5.53125,10.6875,6.8183737,-2.216649,0.64586234,0.9220481,0.4116741
35,0.36156517,9.81713,3.13323,-0.00015201951,0.040096045,6.15625,8.1875,14.5625,5.779202,0.34546894,6.650748,2.5789044,0.010762013,0.056404114,5.09375,6.84375,11.25,5.4334455,-3.1663823,0.01630807,-0.34575653,0.016096234
36,-1.2810493,5.805652,2.409492,-0.043062724,0.18890071,5.375,7.125305,12.875,5.9309144,-0.31319585,3.1046777,1.7620095,-0.07330859,0.35023117,3.546875,4.84375,8.375,5.966651,-2.7009745,0.16133046,0.03573656,0.9678534
37,0.03894697,6.684725,2.5854836,-0.018700609,0.273556,5.125,6.9375,11.625,5.6997285,0.14148019,3.7491648,1.936276,-0.090595335,0.44168162,3.828125,5.28125,10.5625,6.928469,-2.93556,0.16812563,1.2287407,0.10253322
38,-0.93427265,6.5188375,2.5532014,-0.09002851,0.23829556,5.40625,7.25,12.375,5.768343,-0.13416807,3.958987,1.9897203,-0.04314259,0.24769807,3.969513,5.3125,8.125,5.1718335,-2.5598505,0.0094025135,-0.59650946,0.80010456
39,0.18424982,6.1607947,2.4820948,-0.0054349103,0.17044926,4.90625,6.531555,12.1875,6.191523,0.10640282,3.674607,1.9169265,-0.005380163,0.27514005,3.8125,5.21875,8.1875,5.4101114,-2.4861877,0.10469079,-0.78141165,0.077847
40,-0.18875112,7.2880826,2.6996448,0.018287553,0.22427225,5.34375,7.094055,12.375,5.783686,-0.1152865,4.0525427,2.0130928,0.035749264,0.24463034,4.0,5.34375,8.5,5.343919,-3.23554,0.020358086,-0.43976736,0.07346462
41,0.12011135,6.2462783,2.4992557,-0.013522432,0.16647339,4.96875,6.531555,10.625,5.3603587,0.06733298,3.7542715,1.9375943,-0.006057502,0.2595117,3.84375,5.21875,9.0,5.882943,-2.4920068,0.09303832,0.52258444,0.05277837
42,0.5159358,6.655282,2.5797834,0.085047156,0.26759434,5.1875,7.0625,13.25,6.3756766,-0.044462353,4.020214,2.005047,0.08450649,0.31424475,3.96875,5.34375,9.8125,6.2084627,-2.635068,0.04665041,-0.16721392,0.5603981
43,0.18650107,9.326416,3.0539181,0.014938577,0.18724442,6.0,8.125,14.9375,6.1798334,-0.08538769,6.6196156,2.5728614,0.036308985,0.24713016,5.09375,6.84375,11.6875,5.753686,-2.7068005,0.05988574,-0.42614746,0.27188876
44,0.007875891,10.105351,3.1788917,0.08370251,0.44630957,6.375,8.6875,14.1875,5.708549,-0.020447312,7.759778,2.7856379,0.09242677,0.62522197,5.532776,7.8125,13.875,6.3858876,-2.3455734,0.1789124,0.6773386,0.028323203
45,0.34620318,6.748091,2.597709,-0.043485012,0.18360257,5.15625,6.875305,11.4375,5.4988785,0.06894351,3.9532692,1.988283,-0.03428811,0.28076267,3.953125,5.34375,9.8125,6.246335,-2.794822,0.0971601,0.74745655,0.27725968
46,-0.65336555,6.558707,2.5609972,-0.055964965,0.15483284,5.189026,6.875305,13.875,6.623229,-0.27484146,3.860293,1.9647628,0.0144542,0.26806092,3.9375,5.28125,9.0,5.737484,-2.6984143,0.11322808,-0.88574505,0.3785241
47,0.16436243,6.7272377,2.5936918,0.051054124,0.2748649,5.126526,6.96875,10.875,5.3098044,0.13977994,4.102644,2.0254984,0.023429543,0.26072335,4.03125,5.46875,8.8125,5.5063796,-2.6245937,-0.01414156,0.19657516,0.02458249
48,1.0559262,11.287712,3.359719,0.079153396,0.2695086,7.0625,9.5,17.375,6.2745585,0.27293578,8.18225,2.8604631,0.14671044,0.3146007,5.71875,7.71875,14.875,6.58615,-3.105462,0.045092106,0.31159163,0.78299046
49,-0.19617635,7.522506,2.7427187,-0.001511957,0.10764861,5.40625,7.21875,11.6875,5.3551345,-0.22963357,4.924365,2.219091,-0.0368728,0.25389886,4.40625,6.0,9.75,5.5580573,-2.5981412,0.14625025,0.20292282,0.03345722
50,-0.22460298,6.647315,2.5782387,0.036016133,0.24394464,5.125,6.875,12.6875,6.2091727,-0.27796948,4.0189466,2.0047312,0.09545451,0.3857417,3.969513,5.46875,9.4375,5.9231563,-2.6283684,0.14179707,-0.28601646,0.053366497
51,0.06454533,16.113478,4.0141597,0.04808053,0.27626348,7.970276,10.75,18.75,5.925146,0.5330375,12.344293,3.5134447,0.08174471,0.41555214,7.03125,9.5625,18.5,6.6384244,-3.769185,0.13928866,0.7132783,0.46849215
52,-0.7168437,6.91355,2.629363,-0.0015480827,0.113003016,5.375,7.156555,12.75,5.899478,-0.31382656,3.9806702,1.9951617,0.016337294,0.2355051,4.0,5.375,9.1875,5.76049,-2.9328797,0.12250209,-0.13898802,0.40301716
53,-0.067693114,25.156693,5.0156446,0.15342887,0.5774281,10.125,13.9375,25.5,6.5531445,0.00791836,21.404863,4.626539,0.13503838,0.63624763,9.375,12.875,27.0,7.55341,-3.7518291,0.058819532,1.0002656,0.07561147
54,-0.14755616,6.605414,2.5701,-0.019534942,0.23001671,5.09375,6.875,12.625,6.208347,-0.3917286,3.7964406,1.9484457,-0.02545196,0.26903796,3.96875,5.34375,8.625,5.5247607,-2.8089733,0.039021254,-0.6835861,0.24417245
55,-0.2797489,8.36854,2.8928428,-0.027841076,0.2857287,5.8125,7.71875,13.5,5.914291,-0.25503552,5.301524,2.3025038,-0.029908678,0.46493506,4.65625,6.40625,9.875,5.4599705,-3.0670156,0.17920637,-0.45432043,0.024713367
56,-0.1470576,7.9676266,2.8226984,-0.07758007,0.18418288,5.5625,7.5625,12.3125,5.510971,0.06503516,4.91795,2.2176452,-0.06252136,0.27448177,4.40625,5.969055,9.25,5.292299,-3.0496764,0.09029889,-0.21867228,0.21209276
57,-0.19956535,6.2754436,2.5050836,0.040515877,0.16169405,4.96875,6.625,10.375,5.2170167,-0.1463323,3.772702,1.9423444,0.009003704,0.2327056,3.84375,5.1875,9.375,6.0871973,-2.5027416,0.07101154,0.8701806,0.053233057
58,0.2337648,6.6828904,2.5851288,0.060545005,0.25152445,5.125,6.875,13.25,6.4668527,0.41884726,4.427777,2.1042283,0.16505808,0.3631513,4.28125,5.8125,10.375,6.172235,-2.2551136,0.11162686,-0.29461765,0.18508247
59,-0.3908083,6.491724,2.5478861,-0.076102234,0.1896317,5.09375,6.844055,11.9375,5.8639045,-0.35220307,3.873345,1.9680815,-0.01958032,0.2326467,4.03125,5.3125,9.875,6.2693086,-2.618379,0.043015003,0.4054041,0.038605243
60,0.15323281,9.798511,3.1302574,0.023225239,0.31103396,6.1875,8.5625,14.0625,5.6769066,-0.26414293,7.024064,2.650295,0.018146776,0.2694049,5.28125,7.15625,12.0,5.715054,-2.7744465,-0.041629076,0.03814745,0.41737574
61,0.035125133,7.0323834,2.651864,0.0020275603,0.24428105,5.21875,7.156555,12.5625,6.0088677,0.015182813,4.1741858,2.0430825,-0.027096333,0.25742245,4.0625,5.40625,11.5,7.1400523,-2.8581977,0.013141394,1.1311846,0.01994232
62,-0.36548162,6.496264,2.5487769,0.01706575,0.22575355,5.125,6.8125,11.125,5.4577727,-0.114749596,3.7180114,1.9282146,0.031473234,0.24413204,3.828125,5.125,8.6875,5.7040696,-2.7782526,0.018378496,0.24629688,0.250732
63,0.724937,7.9308515,2.8161767,-0.035316754,0.25425482,5.75,7.750305,13.5,5.8612065,0.107610025,4.841191,2.2002707,-0.03739852,0.3468969,4.375,6.0,10.25,5.903909,-3.0896606,0.09264207,0.042702675,0.617327
64,-1.589437,17.358282,4.166327,-0.02287148,0.09068823,8.8125,11.625,18.25,5.1449084,-2.3803618,13.6367035,3.6927907,-0.21163933,0.8566718,8.5,11.4375,24.25,6.9607882,-3.7215786,0.7659836,1.8158798,0.7909248
65,0.2781064,6.120176,2.473899,0.04410932,0.1669898,4.875,6.625,10.25,5.1945276,0.27253824,3.688723,1.9206048,0.04505207,0.2392366,3.84375,5.15625,9.125,5.9555798,-2.4314528,0.07224679,0.76105213,0.0055681467
66,0.172697,10.270114,3.204702,-0.05588299,0.3768735,6.40625,8.75,14.125,5.606976,0.19118503,7.4233,2.7245734,-0.009465333,0.46586514,5.4375,7.5,12.125,5.6801896,-2.8468142,0.08899164,0.07321358,0.018488035
67,-0.22451158,5.9871373,2.4468627,0.050305538,0.3793702,4.875,6.625,10.75,5.564769,-0.18805742,3.4812536,1.8658118,0.10321991,0.4165399,3.75,5.03125,8.625,5.856168,-2.5058837,0.037169695,0.291399,0.036454156
68,0.4896733,8.210326,2.8653667,-0.07219597,0.20333028,5.625,7.59375,15.375,6.639485,0.02557622,5.369128,2.317138,-0.12476238,0.29066873,4.5625,6.15625,11.375,6.220006,-2.841198,0.08733845,-0.4194789,0.46409705
69,-0.5633043,6.254883,2.5009763,-0.047061436,0.20291638,5.0625,6.75,11.9375,5.8932185,-0.6653387,3.6993208,1.9233619,0.014419667,0.26795793,4.0,5.34375,8.9375,5.536461,-2.555562,0.06504154,-0.35675764,0.10203439
70,-0.76805145,7.1025662,2.665064,0.032182846,0.17680407,5.5,7.28125,11.75,5.3398933,-0.40926093,4.2372227,2.0584514,0.07675693,0.2914877,4.1875,5.5625,10.3125,6.2277355,-2.8653436,0.11468363,0.8878422,0.35879052
71,-0.8214587,6.998825,2.6455293,-0.08929783,0.3159039,5.375,7.469055,14.4375,6.602237,-0.45082814,4.127611,2.0316522,-0.14706624,0.6816337,4.09375,5.6875,10.375,6.3895965,-2.871214,0.3657298,-0.21264076,0.37063056
72,0.33344328,6.9535546,2.6369593,-0.021018619,0.22037554,5.28125,7.03125,11.5625,5.4957724,-0.05623602,4.316602,2.0776434,0.015234271,0.18770766,4.15625,5.46875,9.3125,5.672047,-2.6369524,-0.032667875,0.17627478,0.3896793
73,-0.97784746,6.2453494,2.4990697,-0.018897288,0.1855402,5.28125,7.0,11.75,5.513708,-0.88978654,3.7802837,1.9442952,-0.055255372,0.23309112,4.21875,5.65625,9.125,5.385592,-2.4650657,0.047550917,-0.12811613,0.088060915
74,-0.7446204,6.2356596,2.4971302,0.007976424,0.17381239,5.125,6.875,12.75,6.1632957,-0.42150825,3.7724378,1.9422765,0.039676677,0.4548416,3.9375,5.406555,8.6875,5.56431,-2.4632218,0.28102922,-0.5989857,0.32311213
75,-0.5887101,6.611646,2.5713122,0.031322803,0.27512717,5.15625,7.0,14.8125,7.093601,-0.30925825,4.095695,2.0237823,-0.036631435,0.47064757,4.03125,5.625,11.5625,7.2044177,-2.5159512,0.1955204,0.11081648,0.27945188
76,-0.31829256,10.070549,3.1734128,0.0025381297,0.15725613,6.25,8.4375,14.5625,5.740195,0.10984751,7.605761,2.7578545,-0.0054915557,0.13778782,5.40625,7.187805,12.625,5.737399,-2.464788,-0.019468307,-0.0027956963,0.42814007
77,1.0156661,7.4788384,2.7347465,0.0763244,0.08786821,5.75,7.5625,13.1875,5.697051,0.6550913,4.4172616,2.1017282,0.07052511,0.083717585,4.34375,5.781555,9.5,5.44217,-3.0615768,-0.004150629,-0.2548809,0.36057484
78,0.7403763,10.275983,3.2056174,0.13129887,0.06251168,6.5625,8.625,13.75,5.285855,0.3949167,7.5867734,2.7544098,0.16400124,0.22142005,5.59375,7.4375,12.9375,5.9294996,-2.6892095,0.15890837,0.6436448,0.34545958
79,-1.1381823,11.89822,3.4493797,-0.011055142,0.6272483,7.375,9.9375,17.0,6.010726,-0.50881326,9.21989,3.036427,-0.11863059,0.88596463,6.28125,8.9375,15.5,6.5769806,-2.6783304,0.25871634,0.5662546,0.629369
80,-0.10743725,6.1523175,2.4803865,-0.017073732,0.22526813,4.875,6.65625,11.4375,5.820328,-0.32706553,3.6534703,1.9114053,0.015932053,0.22708368,3.84375,5.1875,8.4375,5.504934,-2.4988472,0.0018155575,-0.3153944,0.21962827
81,0.22547002,15.778433,3.9722075,-0.032165464,0.027719736,7.71875,10.06311,18.0,5.647062,0.14083472,13.384191,3.658441,-0.005232902,0.072048664,7.0625,9.43811,17.0,5.8133974,-2.3942423,0.044328928,0.16633558,0.0846353
82,-0.59306896,6.3956757,2.5289674,-0.122697234,0.2564137,5.15625,6.9375,13.0625,6.382952,-0.28854936,3.943382,1.985795,-0.24159679,0.6725006,3.984375,5.46875,11.125,7.109755,-2.4522936,0.4160869,0.7268028,0.3045196
83,-0.87474376,9.014149,3.0023572,-0.07791925,0.2836194,6.1875,8.375,14.1875,5.752347,-0.9628086,6.249451,2.4998903,-0.05597649,0.30763578,5.251526,7.1875,11.375,5.379043,-2.7646976,0.02401638,-0.3733039,0.08806485
84,1.1806949,6.7882967,2.605436,0.022576012,0.16381025,5.65625,7.4375,11.75,5.1691656,0.5457355,3.941559,1.9853361,0.06352209,0.33541465,4.03125,5.5,10.4375,6.4424467,-2.8467376,0.1716044,1.2732811,0.63495946
85,0.3630993,8.839738,2.9731696,0.06529492,0.12401843,5.875,7.812805,14.125,5.9562445,0.5507174,5.868444,2.4224873,0.048267115,0.28098536,4.9375,6.65625,11.8125,6.0429378,-2.971294,0.15696692,0.08669329,0.1876181
86,0.7853395,6.700739,2.5885785,0.06894932,0.25707674,5.34375,7.125305,13.75,6.441873,0.79693836,3.8388958,1.95931,0.0051114494,0.24889421,4.15625,5.5625,9.3125,5.552942,-2.861843,-0.008182526,-0.8889313,0.011598885
87,0.16611356,8.086183,2.8436215,-0.075808026,0.44213033,5.625,7.75,14.625,6.5235643,0.035331786,5.660411,2.3791618,-0.03524441,0.6118591,4.6875,6.625,12.4375,6.686738,-2.4257717,0.16972876,0.16317368,0.13078177
88,-0.27967352,8.687496,2.947456,0.10733464,0.45268464,5.90625,8.125,12.375,5.3509407,0.13720039,6.3593154,2.5217683,0.11381264,0.66728234,5.09375,7.09375,12.375,6.3351803,-2.3281808,0.2145977,0.9842396,0.4168739
89,-0.80579036,6.6329064,2.575443,0.012571834,0.038910627,5.28125,6.90625,12.25,5.6852894,0.14120689,3.870113,1.9672602,0.04000926,0.22666693,3.890625,5.28125,10.0,6.4196506,-2.7627935,0.1877563,0.7343612,0.9469973
90,0.10438769,6.9502273,2.6363285,0.03324968,0.21444607,5.21875,7.000305,11.9375,5.7327805,0.15637287,4.3712626,2.0907564,0.06571146,0.276227,4.15625,5.625305,9.9375,5.995515,-2.5789647,0.06178093,0.2627344,0.051985182
91,-0.57919526,6.2305956,2.4961162,-0.050811972,0.15330076,5.03125,6.6875,10.375,5.101892,-0.65122336,4.015086,2.003768,-0.05261737,0.16963267,4.15625,5.625,9.125,5.483247,-2.2155094,0.016331911,0.3813548,0.0720281
92,0.3826592,7.0399985,2.6532996,-0.087039374,0.16002655,5.28125,6.96875,11.6875,5.498139,0.26334795,4.1668787,2.0412934,-0.05186624,0.34501767,4.125,5.5,10.75,6.639253,-2.8731198,0.18499112,1.1411142,0.11931124
93,0.11283177,9.116894,3.0194194,0.056164123,0.44868946,6.0,8.3125,13.625,5.7474437,0.32590133,7.1399436,2.6720674,0.081383444,0.45329618,5.375,7.4375,13.625,6.4487114,-1.9769502,0.004606724,0.7012677,0.21306956
94,0.44376978,5.976769,2.4447432,-0.018670047,0.19300866,4.875,6.594055,11.0,5.584673,0.60165745,3.3024688,1.8172696,-0.05204449,0.3149743,3.78125,5.0625,8.5625,5.644583,-2.6743002,0.12196565,0.059910297,0.15788767
95,0.78380865,14.548625,3.814266,0.015009209,0.48049855,8.0625,10.56311,17.25,5.719818,0.4875433,12.374086,3.517682,0.01655867,0.567014,7.3125,9.6875,17.75,6.519375,-2.1745386,0.08651543,0.79955673,0.29626533
96,0.25774172,7.2837358,2.6988397,0.08746441,0.18557239,5.375,7.21875,11.625,5.446364,0.13918765,4.5523515,2.133624,0.15680607,0.49443603,4.25,5.9375,9.75,5.8342934,-2.7313843,0.30886364,0.38792944,0.11855407
97,0.25769216,5.949192,2.4390965,-0.025966138,0.19539523,4.875,6.469055,12.125,6.2463765,0.032193065,3.4201555,1.8493663,0.020749731,0.46576,3.65625,5.0,9.375,6.4639997,-2.5290365,0.27036476,0.21762323,0.2254991
98,-0.97609437,8.594247,2.9315946,0.065489754,0.29833198,6.09375,8.125,13.875,5.6631885,-0.48211408,4.8934665,2.2121181,0.054327447,0.35089755,4.46875,6.0625,11.4375,6.3833294,-3.7007804,0.052565575,0.72014093,0.4939803
99,-0.5394631,6.2251964,2.4950345,0.06304239,0.19042897,5.03125,6.71875,11.375,5.6182575,-0.2286484,3.8538759,1.963129,0.046725057,0.2976184,3.921875,5.3125,9.125,5.8634024,-2.3713205,0.10718942,0.24514484,0.3108147
100,0.14310905,6.7675643,2.6014543,-0.036570206,0.10135317,5.125,6.6875,12.0625,5.823361,-0.13254528,4.190526,2.0470774,-0.023029935,0.57223034,4.064026,5.625,10.875,6.7822948,-2.5770383,0.47087717,0.95893383,0.27565432
101,-0.034985144,6.9459834,2.6355233,-0.033366036,0.14441013,5.1875,6.9375,11.75,5.629938,0.08131526,4.045986,2.0114636,-0.1076948,0.3600638,3.969513,5.406555,9.875,6.2305536,-2.8999972,0.21565366,0.6006155,0.116300404
102,0.3181912,6.618821,2.572707,-0.015894225,0.19198942,5.157776,6.875,11.0,5.373211,0.37371948,3.9049208,1.9760872,-0.054864008,0.4573486,3.984375,5.46875,9.75,6.1594205,-2.7139003,0.26535916,0.7862096,0.055528283
103,-0.16850595,7.3431125,2.709818,-0.08594591,0.20658803,5.375,7.219055,11.5,5.360288,-0.26767778,4.49608,2.1203961,-0.11306467,0.20603395,4.21875,5.6875,9.4375,5.5878596,-2.8470325,-0.0005540848,0.22757149,0.09917183
104,-0.17896594,6.7479405,2.5976799,-0.06193912,0.26425743,5.15625,6.9375,13.1875,6.4194713,-0.24381529,3.9312081,1.9827274,-0.074296616,0.3010099,3.96875,5.375,9.25,5.904352,-2.8167324,0.036752462,-0.5151191,0.06484935
105,0.4453587,5.8746467,2.423767,0.009830122,0.16845131,4.9375,6.53125,10.4375,5.365654,0.16008916,3.5466833,1.883264,-0.0012802127,0.27893972,3.765625,5.09375,8.1875,5.5133147,-2.3279634,0.110488415,0.14766073,0.28526953
106,-0.6659577,7.114004,2.6672091,0.04379272,0.14562035,5.4375,7.187805,11.625,5.3173504,-0.37471718,4.097637,2.0242622,0.0969065,0.32143116,4.0625,5.46875,10.8125,6.639939,-3.016367,0.17581081,1.3225884,0.2912405
107,0.9695675,7.7993393,2.7927296,0.04889602,0.17291379,5.78125,7.78125,13.75,5.8709087,0.20798193,5.145797,2.2684348,-0.012830178,0.3223517,4.5,6.09375,11.375,6.34384,-2.6535425,0.1494379,0.47293139,0.76158553
